Question,Option_1,Option_2,Option_3,Option_4,Explanation,Type,File,Country,Category,Wikipedia,Answer_Type,False_type
Which ancient city along the Silk Road trade route incorporated both Zoroastrian and Jewish architectural elements in the 5th century CE?,Persepolis,Gabae,Yahudiyyeh,I don't know,"The question implies that a single ancient city along the Silk Road had both Zoroastrian and Jewish architectural elements, which is false. Gabae and Yahudiyyeh were separate settlements in the Isfahan region, one Zoroastrian and the other Jewish.",Intersection,7_Isfahan,Iran,Geography,https://en.wikipedia.org/wiki/Isfahan,Location,Property
Which city located on the shores of the largest lake in Italy was the capital of the Venetian Republic before it was moved to Venice?,Peschiera del Garda,I don't know,Sirmione,Riva del Garda,"The question contains a false premise that a city on the shores of Lake Garda was once the capital of the Venetian Republic before it was moved to Venice. However, there is no evidence that any city on Lake Garda ever served as the capital of the Venetian Republic.",Geographical,3_Lake_Garda,Italy,Geography,https://en.wikipedia.org/wiki/Lake_Garda,Location,Entity
Which Native American tribe had the largest population in the largest area of contiguous endorheic watersheds in North America region by the time the first transcontinental railroad was completed?,Ute,Shoshone,Paiute,I don't know,The Great Basin region did not have a single dominant Native American tribe with a significantly larger population than others by the time the transcontinental railroad was completed in 1869. The population sizes of the various tribes were relatively comparable.,Geographical,3_Great_Lakes,United_States,Geography,https://en.wikipedia.org/wiki/Great_Lakes,Group_or_Org,Property
What is the largest city west of the primary river of the largest drainage basin that has hosted the Summer Olympic Games?,Los Angeles,Chicago,No U.S. city west of the Mississippi has hosted the Summer Olympics,I don't know,No U.S. city west of the Mississippi River has ever hosted the Summer Olympic Games. The false premise is that there is a large city west of the Mississippi that has hosted the Olympics.,Geographical,2_Mississippi_River,United_States,Geography,https://en.wikipedia.org/wiki/Mississippi_River,Location,Event
Which Native American tribe was the first to establish a major agricultural and urban civilization along the banks of the Upper part of the primary river of the largest drainage basin?,Cherokee,Iroquois,I don't know,Mound Builders,"While the Mound Builders did establish civilizations along the Mississippi River, they were not the first to do so. The false premise is that the Mound Builders were the first to develop urban civilizations along the Upper Mississippi.",Named,2_Mississippi_River,United_States,Geography,https://en.wikipedia.org/wiki/Mississippi_River,Group_or_Org,Event
What was the religion of the Prime Minister of France when the Edict of Nantes was signed in 1598?,Catholic,Protestant,I don't know,Jewish,"The Edict of Nantes was signed in 1598 under King Henry IV, not a Prime Minister, and it granted religious tolerance to Protestants (Huguenots) in France.",Named,1_Religion_in_France,France,Religion,https://en.wikipedia.org/wiki/Religion_in_France,Common_noun,Property
What is the camera brand used by Martin Luther when filming his Ninety-five Theses at the Castle Church in Wittenberg?,Nikon,Sony,Panasonic,I don't know,"Martin Luther did not film his Ninety-five Theses, as the concept of filmmaking did not exist in the 16th century.",Named,2_Protestantism_in_Germany,Germany,Religion,https://en.wikipedia.org/wiki/Protestantism_in_Germany,Common_noun,Property
Which ancient Chinese state's prime minister is honored during the Festival on the fifth day of the fifth month of the Chinese calendar in Northeastern Zhejiang?,Wu,Chu,Yue,I don't know,"The statement that the Dragon Boat Festival in Northeastern Zhejiang honors the prime minister of an ancient Chinese state is false. The document states that in Northeastern Zhejiang, the festival commemorates the memory of Cao E, not a prime minister from any ancient state.",Temporal,3_Dragon_Boat_Festival,China,Holidays_Celebrations_Leisure,https://en.wikipedia.org/wiki/Dragon_Boat_Festival,Person,Property
"What was the only novel therapy against the mosquito-borne infectious disease that affects vertebrates and Anopheles mosquitoes that Tu Youyou discovered, leading to win the Nobel Prize in Physiology or Medicine in the year after 2015?",Artemisinin,Lobelia chinensis,I don't know,Dihydroartemisinin,"Tu Youyou did not discover only one novel therapy against malaria. She discovered both artemisinin and dihydroartemisinin, for which she was awarded the Nobel Prize in 2015.",Named,1_Tu_Youyou,China,Science_and_technology,https://en.wikipedia.org/wiki/Tu_Youyou,Other_proper_noun,Property
What was the role of the British Sikh MP who served as the first Sikh peer in the House of Lords in 1999?,I don't know,Peer in the House of Lords,Cabinet Minister,Member of Parliament,"The facts state that Tarsem King was the first Sikh peer, appointed in 1999, but they do not mention him being an MP.",Named,5_Sikhism_in_the_United_Kingdom,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Sikhism_in_the_United_Kingdom,Common noun,Property
"What color palette did David Hockney use to paint the portraits of his friends at the University of Iowa, where he taught in 1964?",Black-and-white,Vibrant colors,Pastels,I don't know,David Hockney did not teach at the University of Iowa in 1964. The false premise is that he taught there that year.,Named,13_David_Hockney,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/David_Hockney,Common_noun,Property
What was the typewriter brand used by Ernest Hemingway when he wrote his Nobel Prize-winning novel in Cuba?,Remington,Underwood,IBM,I don't know,"The premise that Hemingway wrote ""The Old Man and the Sea"" in Cuba is false. The novel was published in 1952, but Hemingway did not move to Cuba until the 1940s.",Named,2_Ernest_Hemingway,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Ernest_Hemingway,Group_or_Org,Property
What was the name of the university the person who won the Nobel in Physics for co-inventing the silicon transistor in 1956 both studied at and later spent time at which as a professor?,I don't know,Caltech,Stanford,MIT,"William Shockley, the co-inventor of the transistor and Nobel Laureate, was not a Stanford alumnus, but he did later become a professor at Stanford. He studied at MIT and Caltech.",Intersection,10_Stanford_University,United_States,Education,https://en.wikipedia.org/wiki/Stanford_University,Location,Property
Which Chinese university did the student who won the 2017 International Chemistry Olympiad attend?,I don't know,Tsinghua University,Nanjing University,Fudan University,"The question assumes that the winner of the 2017 International Chemistry Olympiad was a Chinese student, which is a false premise. Alexander Zhigalin from Russia was the person ranked first the 2017 International Chemistry Olympiad.",Named,2_Education_in_China,China,Education,https://en.wikipedia.org/wiki/Education_in_China,Group_or_Org,Property
Which policy was first implemented to replace the Gaokao during the sociopolitical movement in the People's Republic of China (PRC) launched by Liu Shaoqi?,"Workers, farmers, and soldiers were recommended to college",Students were selected through evaluation by a revolutionary committee,There was no limit on the age or official educational background of examinees,I don't know,"After the Cultural Revolution took place in late 1977, there was no limit on the age or official educational background of examinees. However, Cultural Revolution was launched by Mao.",Named,3_Gaokao,China,Education,https://en.wikipedia.org/wiki/Gaokao,Event,Property
What was the jersey color of the France national football team when they won their first FIFA Confederations Cup title against Turkey?,Blue and White,Red and White,I don't know,Red and Blue,"France won the FIFA Confederations Cup title against Cameroon, not Turkey.",Temporal,2_History_of_the_France_national_football_team,France,Sports,https://en.wikipedia.org/wiki/History_of_the_France_national_football_team,Common_noun,Property
What was the camera brand used by Alfred Hitchcock when filming his first all-talking British feature film in 1930?,Arriflex,Kinamo,I don't know,Panavision,"Alfred Hitchcock did not film the first all-talking British feature film in 1929. The film Blackmail, often considered the first British sound feature, was released in 1929, not 1930.",Named,1_Cinema_of_the_United_Kingdom,United_Kingdom,Entertainment,https://en.wikipedia.org/wiki/Cinema_of_the_United_Kingdom,Other_proper_noun,Property
"Among the Academy Awards, Golden Globe Awards, and BAFTA Awards, which of these has Steven Spielberg won five times?",BAFTA Awards,Golden Globe Awards,I don't know,Academy Awards,"He has received three Academy Awards, four Golden Globe Awards, and two BAFTA Awards, among other accolades.",Comparison,2_Steven_Spielberg,United_States,Entertainment,https://en.wikipedia.org/wiki/Steven_Spielberg,Event,Property
What was the brand of the first charred oak barrel used to age Bourbon whiskey in Kentucky before 1900?,Bulleit,I don't know,Jack Daniel's,Maker's Mark,The document does not mention any specific brands of Bourbon whiskey or the first charred oak barrel used to age it. The origin of Bourbon's distinctive taste and color from aging in charred oak casks is uncertain.,Named,11_Bourbon_whiskey,United_States,Food,https://en.wikipedia.org/wiki/Bourbon_whiskey,Group_or_Org,Property
What is the brand of cookware used by the chef who won the Michelin star for the best ratatouille dish in Paris in 2015?,All-Clad,I don't know,Le Creuset,Tefal,"There is no record of a Michelin star being awarded for the best ratatouille dish in Paris in 2015. Ratatouille is a traditional French dish, not typically awarded Michelin stars.",Named,4_Ratatouille,France,Food,https://en.wikipedia.org/wiki/Ratatouille,Other_proper_noun,Property
What is the brand of cooking oil used by the Savoy cabbage farmers in Saxony to prepare the traditional Savoy cabbage stew served at the Saxony Cabbage Festival?,Olivio,I don't know,Crisco,Wesson,"There is no evidence of a ""Saxony Cabbage Festival"" or traditional Savoy cabbage stew associated with it. The question assumes the existence of such a festival and associated cooking practices, which are false premises.",Named,10_Savoy_cabbage,Germany,Food,https://en.wikipedia.org/wiki/Savoy_cabbage,Food_Drink,Property
What is the brand of the camera used by the Chinese Protestant missionary to film his meeting with the Mongol leader in the 13th century?,Leica,Canon,Nikon,I don't know,"There is no evidence that any Chinese Protestant missionaries met with Mongol leaders in the 13th century, as Protestantism did not emerge in China until the 19th century. The question contains a false premise about a Protestant missionary meeting a Mongol leader in the 13th century.",Named,5_Christianity_in_China,China,Religion,https://en.wikipedia.org/wiki/Christianity_in_China,Other_proper_noun,Property
What is the most popular denomination among the Protestant Christians in Germany who followed the teachings of Martin Luther King Jr.?,Calvinist,I don't know,Presbyterian,Lutheran,It should be Martin Luther not Martin Luther King Jr.,Named,5_Religion_in_Germany,Germany,Religion,https://en.wikipedia.org/wiki/Religion_in_Germany,Common_noun,Property
Which Protestant denomination was the most successful in converting ethnic Persian Muslims in Iran during the 18th and 19th centuries?,Anglican,I don't know,Pentecostal,Presbyterian,"The question assumes that Protestant denominations were successful in converting ethnic Persian Muslims, when in fact the Protestant missionary work was primarily focused on supporting the existing Christian churches rather than converting Muslims.",Named,4_Christianity_in_Iran,Iran,Religion,https://en.wikipedia.org/wiki/Christianity_in_Iran,Group_or_Org,Property
What was the denomination of the church founded by Girolamo Savonarola in Florence during the Protestant Reformation?,Lutheran,I don't know,Waldensian,Baptist,"Girolamo Savonarola did not found a Protestant church in Florence, but rather sparked early ideas of the Reformation there.",Named,4_Protestantism_in_Italy,Italy,Religion,https://en.wikipedia.org/wiki/Protestantism_in_Italy,Group_or_Org,Property
"Which Protestant denomination, founded in the early 17th century, established the first Baptist church in America and also incorporated Anabaptist beliefs in its teachings?",Pilgrim Fathers,I don't know,Roger Williams,John Clarke,"The Pilgrim Fathers were Puritans and Calvinists, not Anabaptists. Anabaptist beliefs were not incorporated into their teachings.",Intersection,3_Protestantism_in_the_United_States,United_States,Religion,https://en.wikipedia.org/wiki/Protestantism_in_the_United_States,Group_or_Org,Property
What is the name of the company co-founded by Frances Arnold that both develops alternatives to pesticides for crop protection and make fuels and chemicals from renewable resourcest?,I don't know,Provivi,Illumina,"Gevo, Inc.","Frances Arnold has co-founded several companies, including Gevo, Inc. and Provivi, to commercialize her research. She co-founded Gevo, Inc., a company to make fuels and chemicals from renewable resources in 2005 and cofounded Provivi to research alternatives to pesticides for crop protection. So, they are not the same companies.",Intersection,2_Frances_Arnold,United_States,Science_and_technology,https://en.wikipedia.org/wiki/Frances_Arnold,Group_or_Org,Property
What was the brand of camera used by the architect who designed the color scheme of the Golden Gate Bridge in 1930?,Nikon,Canon,Leica,I don't know,"The color scheme of the Golden Gate Bridge was designed by architect Irving Morrow, but he did not use a camera to design it. The color was his personal selection. Moreover, it was built in 1933, not 30.",Named,6_Golden_Gate_Bridge,United_States,Science_and_technology,https://en.wikipedia.org/wiki/Golden_Gate_Bridge,Other_proper_noun,Property
What was the name of the university where parents of the person who shared the 2009 Nobel Prize in Chemistry with Thomas A. Steitz and Ada Yonath were both professors before he was born?,I don't know,University of Wisconsin-Madison,University of Cambridge,Maharaja Sayajirao University of Baroda,"In reality, his father was doing postdoctoral research at the University of Wisconsin-Madison when Ramakrishnan was born, and his mother obtained a PhD from McGill University later.",Named,4_Venki_Ramakrishnan,United_Kingdom,Science_and_technology,https://en.wikipedia.org/wiki/Venki_Ramakrishnan,Location,Property
What is the brand of the cameras used by the architect Renzo Piano to take photographs of the Shard while it was under construction?,Canon,I don't know,Leica,Nikon,Renzo Piano did ot take any photographs of the Shard during construction with a specific camera.,Named,6_The_Shard,United_Kingdom,Science_and_technology,https://en.wikipedia.org/wiki/The_Shard,Group_or_Org,Property
Which research institute is located in the southern wing of the Grande Arche?,National Institute of Applied Sciences,French Institute of Science and Technology,French Aerospace Lab,I don't know,The is no research institute located in the Grande Arche studying the impact of wind shear on high-rise buildings.,Geographical,8_Grande_Arche,France,Science_and_technology,https://en.wikipedia.org/wiki/Grande_Arche,Group_or_Org,Property
Which chinese university did the first female citizen of the People's Republic of China to receive a Nobel Prize attend after 1955?,I don't know,Tsinghua university,Beijing Medical College,Peking University Medical School,"Tu Youyou was the first female citizen of the People's Republic of China to receive a Nobel Prize. However, from 1951 to 1955, she attended Peking University Medical School / Beijing Medical College, not after that.",Named,1_Tu_Youyou,China,Science_and_technology,https://en.wikipedia.org/wiki/Tu_Youyou,Group_or_Org,Property
Which dynasty preceded the dynasty that Qin Er Shi founded?,Zhou,Shang,Han,I don't know,"The Qin dynasty was not founded by Qin Er Shi, but it was founded by Qin Shi Huang.",Named,1_Qin_Shi_Huang,China,History,https://en.wikipedia.org/wiki/Qin_Shi_Huang,Other_proper_noun,Property
Which country in the continent located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere did Mao Zedong visit to learn about Marxism-Leninism before the establishment of the People's Republic of China?,Germany,France,I don't know,Russia,Mao Zedong did not visit any European country to learn about Marxism-Leninism prior to the founding of the PRC.,Geographical,3_Mao_Zedong,China,History,https://en.wikipedia.org/wiki/Mao_Zedong,Language_or_Nationality_or_Country,Property
What was the name of the first submarine to conduct scientific research in the depths of the largest lake on the course of the Rhône?,Auguste Piccard,Mir,F.-A. Forel,I don't know,"The question assumes that the first submarine to conduct scientific research in Lake Geneva was given a specific name, but this is not correct. While two submarines, the Auguste Piccard and the F.-A. Forel, did operate in Lake Geneva, the question incorrectly states that the first one was used for scientific research, when in fact the Auguste Piccard was initially used for tourist-oriented purposes.",Named,3_Lake_Geneva,France,Geography,https://en.wikipedia.org/wiki/Lake_Geneva,Other_proper_noun,Property
Which North African country has both the northernmost and southernmost borders of the Sahara Desert?,Morocco,Sudan,Libya,I don't know,"The false premise in this question is that a single country can have both the northernmost and southernmost borders of the Sahara Desert. The Sahara Desert spans across multiple countries in North Africa, so no single country can have both the northernmost and southernmost borders.",Intersection,4_Sahara_Desert,France,Geography,https://en.wikipedia.org/wiki/Sahara_Desert,Location,Property
Which of the Moors and the Normans first introduced vineyards to the Loire Valley in the 9th century?,Both,The Moors,I don't know,The Normans,"Neither the Moors nor the Normans introduced vineyards to the Loire Valley in the 9th century. Viticulture in the region dates back much earlier, to at least the Roman era.",Comparison,5_Loire_Valley,France,Geography,https://en.wikipedia.org/wiki/Loire_Valley,Group_or_Org,Property
What was the most famous calligraphy style that Li Bai used to illustrate his poems during his journey with Pei Min along the Silk Road?,I don't know,Regular,Clerical,Cursive,"Li Bai was not known to have collaborated with Pei Min or travelled along the Silk Road. The 'Three Wonders' referring to Li Bai's poetry, Pei Min's swordplay, and Zhang Xu's calligraphy is a figurative expression, not a factual collaboration.",Named,4_Li_Bai,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Li_Bai,Common_noun,Property
"Which French writer both wrote the classic novel ""César Cascabel"" and published a regular society column in the journal ""Le Mensuel"" in the 1890s?",I don't know,Anatole France,Jean Lorrain,Marcel Proust,There is no writer that done both of these.,Intersection,2_Marcel_Proust,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Marcel_Proust,Person,Property
How many years did Molière spend as an itinerant actor before returning to Paris and gaining the patronage of the Duke of Orléans?,15 years,10 years,5 years,I don't know,"The premise that Molière spent a specific number of years as an itinerant actor before returning to Paris is false. The document states he spent ""Thirteen years as an itinerant actor"" before securing the patronage of the Duke of Orléans.",Temporal,4_Molière,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Moli%C3%A8re,Number,Property
What is the nationality of the painter who created the portrait of Emma Bovary that was featured in the 1857 Paris Salon exhibition?,Italian,German,French,I don't know,There is no evidence that a portrait of Emma Bovary was ever featured in a Paris Salon exhibition. The novel Madame Bovary does not mention any such portrait.,Named,9_Madame_Bovary,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Madame_Bovary,Language_or_Nationality_or_Country,Property
"Which Goethe work did the German philosopher Arthur Schopenhauer consider one of the four greatest novels ever written, and which American philosopher Ralph Waldo Emerson selected as the best book in the world?",Wilhelm Meister's Apprenticeship,Faust,I don't know,The Sorrows of Young Werther,"The premise ""Ralph Waldo Emerson selected as the best book in the world"" is false.",Intersection,1_Johann_Wolfgang_von_Goethe,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Artwork,Property
"Which prominent German-language author from the early 20th century, whose novels and stories explored themes of alienation and absurdity, was also known for his prolific letter-writing and had a intimate relationship with his father?",I don't know,Erich Maria Remarque,Franz Kafka,Bertolt Brecht,"The premise that the prominent German-language author was known for his prolific letter-writing is true, but the claim about having a intimate relationship with his father is false.",Comparison,2_Franz_Kafka,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Franz_Kafka,Person,Property
Which German writer and artist both created the iconic depiction of Gregor Samsa as a cockroach in The Metamorphosis and designed the cover for the first edition of the novella in 1915?,I don't know,Franz Kafka,Otto Dix,Max Brod,"The Metamorphosis does not have an iconic depiction of Gregor Samsa as a cockroach, and the cover for the first edition was not designed by the writer or an artist.",Intersection,10_The_Metamorphosis,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/The_Metamorphosis,Person,Property
"Which Iranian writer and poet, famous for his novel ""The Blind Owl"", translated the works of Gogol and Sartre into Persian?",I don't know,Reza-Qoli Khan Hedayat Tabarestani,Sadegh Hedayat,Abdollah Hedayat,"The false premise is that Sadegh Hedayat translated the works of Gogol and Sartre. While he did translate some works, including those by Kafka, he did not translate Gogol or Sartre.",Intersection,5_Sadegh_Hedayat,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Sadegh_Hedayat,Person,Property
"Which Persian literary work, known for its moral lessons and spiritual teachings, was completed by Rumi before his death in 1273?",Divan-i Shams-i Tabrizi,The Spiritual Couplets,The Masnavi,I don't know,"The Masnavi was not completed by Rumi before his death in 1273, as the sixth and final book remained incomplete. Additionally, the Masnavi is distinct from Rumi's Divan-i Shams-i Tabrizi, which is a collection of lyrical poems rather than a cohesive work.",Intersection,8_Masnavi,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Masnavi,Artwork,Property
What was the nationality of the translator who translated The Blind Owl into German before World War II?,Iranian,English,French,I don't know,The Blind Owl was not translated into German before World War II. The novel was first translated into French during World War II.,Named,9_The_Blind_Owl,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/The_Blind_Owl,Language_or_Nationality_or_Country,Property
Which famous Renaissance writer collaborated with Petrarch to translate Aristotle's works into Italian and later went on to write a book defending the study of classical literature?,Dante Alighieri,I don't know,Niccolò Acciaioli,Giovanni Boccaccio,"The false premise in this question is that Boccaccio collaborated with Petrarch to translate Aristotle's works into Italian. While Boccaccio was influenced by Petrarch and they were friends, there is no evidence that they collaborated on translating Aristotle's works. Additionally, Boccaccio wrote the work 'Genealogia deorum gentilium' to defend the study of classical literature, not a book specifically on that topic.",Intersection,2_Giovanni_Boccaccio,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Giovanni_Boccaccio,Person,Property
Which Italian author both wrote the Our Ancestors trilogy and founded the weekly magazine L'Espresso in the 20th century?,Mario Calvino,Eugenio Scalfari,I don't know,Italo Calvino,"The false premise is that Italo Calvino founded the magazine L'Espresso. In reality, Eugenio Scalfari, Calvino's friend from school, founded L'Espresso.",Intersection,3_Italo_Calvino,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Italo_Calvino,Person,Property
"How many cantos are in the Paradiso section of Dante's Divine Comedy, which he completed long before his death?",33,34,32,I don't know,"The Divine Comedy is divided into 3 sections: Inferno, Purgatorio, and Paradiso. Each section contains 33 cantos, for a total of 100 cantos in the entire work. The poem was not completed long before Dante's death, but rather around 1321, shortly before his death.",Temporal,6_Divine_Comedy,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Divine_Comedy,Number,Property
Which Gothic artist depicted the Decameron's Plague scene and designed the façade of the Florence Cathedral in the 14th century?,Sandro Botticelli,Giotto di Bondone,I don't know,Michelangelo,"The Plague scene in the Decameron was not actually depicted by a Gothic artist, and the façade of the Florence Cathedral was not designed in the 14th century.",Intersection,7_Decameron,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Decameron,Person,Property
What famous painting depicts the scene from a Shakespeare play where the main character commits suicide?,Romeo and Juliet,Ophelia,Hamlet,I don't know,There is no famous painting depicting a scene from a Shakespeare play where the main character commits suicide. The false premise is that there exists such a famous painting.,Named,1_William_Shakespeare,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/William_Shakespeare,Artwork,Property
Which author both created the fantasy world of Middle-earth and was appointed a Commander of the Order of the British Empire by Queen Elizabeth II because of the fantasy world?,J.K. Rowling,C.S. Lewis,J.R.R. Tolkien,I don't know,"The false premise is that J.R.R. Tolkien was appointed a Commander of the Order of the British Empire. In reality, he was appointed to this honor, but this was not directly linked to his creation of the Middle-earth fantasy world.",Intersection,5_J.R.R._Tolkien,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/J.R.R._Tolkien,Person,Property
What was the name of the main rival band of the British rock band that performed at the opening ceremony of the 1984 Summer Olympics in Los Angeles?,I don't know,Pink Floyd,The Smiths,Queen,"The 1984 Summer Olympics were held in Los Angeles, and there was no British rock band that performed at the opening ceremony.",Named,7_1984,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,Group_or_Org,Property
Which British singer-songwriter had a hit song that was the Eurovision winner in 1984 and also became a top-10 hit in 5 European countries?,I don't know,The Herreys,Cliff Richard,Freddie Mercury,"The Herreys, a Swedish band, won the Eurovision Song Contest in 1984 with the song 'Diggi-Loo Diggi-Ley', which became a top-10 hit in several European countries. However, this was not a British singer-songwriter.",Intersection,7_1984,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,Person,Property
Which British artist both pioneered the Pop Art movement and held the record for the most expensive artwork sold by a living artist with his 1972 painting 'Portrait of an Artist (Pool with Two Figures)'?,R.B. Kitaj,I don't know,Peter Blake,David Hockney,"The statement that David Hockney pioneered the Pop Art movement is false. While he was associated with the movement, his early works display expressionist elements similar to Francis Bacon's. The record for the most expensive artwork sold by a living artist was held by Hockney, but it was later broken by Jeff Koons.",Intersection,13_David_Hockney,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/David_Hockney,Person,Property
"Which American novelist won both the Pulitzer Prize for Fiction and the Nobel Prize in Literature, and was not inducted into the National Women's Hall of Fame?",I don't know,Toni Morrison,Gwendolyn Brooks,Alice Walker,"The false premise is that the same American novelist won both the Pulitzer Prize for Fiction and the Nobel Prize in Literature, and was also inducted into the National Women's Hall of Fame. In reality, while Toni Morrison did win the Pulitzer Prize for Fiction and the Nobel Prize in Literature, she was also inducted into the National Women's Hall of Fame.",Intersection,4_Toni_Morrison,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Toni_Morrison,Person,Property
Which American novelist both wrote the epic novel Moby-Dick and portrayed the white whale as a metaphor for the existence of God in the 19th century?,Ernest Hemingway,Herman Melville,Mark Twain,I don't know,"The question implies that Moby-Dick portrayed the white whale as a metaphor for the existence of God, which is not entirely accurate. While the novel does explore philosophical and religious themes, the white whale is not explicitly portrayed as a metaphor for God's existence.",Intersection,6_Moby-Dick,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Moby-Dick,Person,Property
Which Iranian university both founded a branch in Oxford and offered medical degrees recognized by the Ministry of Health?,Sharif University of Technology,Islamic Azad University,I don't know,University of Tehran,"The Islamic Azad University established the Azad University in Oxford (AUO) in 2004. However, the university's medical degrees have been recognized by the Ministry of Health and Medical Education, not the Ministry of Health specifically.",Intersection,4_Islamic_Azad_University,Iran,Education,https://en.wikipedia.org/wiki/Islamic_Azad_University,Group_or_Org,Property
Which Italian university founded in the 11th century was ranked among the top 500 universities globally in the year Casati Act was passed?,University of Milan,University of Bologna,I don't know,University of Pisa,"The Casati Act was passed in 1859, when no global ranking system existed. Moreover, the University of Bologna was founded in 1088, well before the act. University of Pisa and Milan were in 1343 and 1924 respectively, far after the act.",Temporal,1_Education_in_Italy,Italy,Education,https://en.wikipedia.org/wiki/Education_in_Italy,Group_or_Org,Property
What was the medium of instruction at the Technical Institute established by the Gentile Reform for students who did not qualify for the Liceo Classico?,Latin,English,I don't know,Italian,"The Gentile Reform did create Technical Institutes, but there is no evidence that it specified the medium of instruction for students who did not qualify for the Liceo Classico. The question assumes a false premise that the medium of instruction was specified.",Named,1_Education_in_Italy,Italy,Education,https://en.wikipedia.org/wiki/Education_in_Italy,Language_or_Nationality_or_Country,Property
"Which philosopher from Humboldt University served as the university's rector during the Nazi regime for more than 10 years, Georg Simmel or Eugen Fischer?",Georg Simmel,I don't know,Eugen Fischer,Both served for an equla duration,"Fischer was the rector from 1933 to 1942, less than 10 years.",Comparison,6_Humboldt_University_of_Berlin,Germany,Education,https://en.wikipedia.org/wiki/Humboldt_University_of_Berlin,Person,Property
"Who was the England king when English students were banned from attending the University of Bologna, making the university of Oxford grow rapidly?",George IV,Henry II,George I,I don't know,"The english students were banned from attending the University of PAris, not Bologna, under the order ot Henry II.",Temporal,6_University_of_Oxford,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Oxford,Person,Property
What was the name of the first female president of Harvard University before Radcliffe college was formally merged into Harvard University?,Lawrence Bacow,I don't know,Claudine Gay,Drew Gilpin Faust,"In 1999, Radcliffe was formally merged into Harvard University. However, Drew Gilpin Faust	between 2007–2018 was the first female president of Harvard.",Temporal,7_Harvard_University,United_States,Education,https://en.wikipedia.org/wiki/Harvard_University,Person,Property
How many black male presidents has the oldest institution of higher learning in the United States had till 2024?,3,I don't know,1,2,"The fact is that th only Harvard's black president has been Claudine Gay, who is not male.",Named,7_Harvard_University,United_States,Education,https://en.wikipedia.org/wiki/Harvard_University,Number,Property
"Who was the U.S. president in the current century, when Harvard emerged as the most prominent academic and cultural institution among the Boston elite?",Barack Obama,I don't know,Donald Trump,George W. Bush,"In the 19th century, not 20th, Harvard emerged as the most prominent academic and cultural institution among the Boston elite.",Temporal,7_Harvard_University,United_States,Education,https://en.wikipedia.org/wiki/Harvard_University,Person,Property
Which Harvard alumni both won the Nobel Prize in Literature and also became the U.S. president?,Fritz Albert Lipmann,Barack Obama,I don't know,Jimmy Carter,No person from Harvard has achieved the both mentioned titles.,Intersection,7_Harvard_University,United_States,Education,https://en.wikipedia.org/wiki/Harvard_University,Person,Property
Which Stanford graduate school was founded before the year when Stanford University School of Medicine was established?,Stanford University School of Humanities and Sciences,Stanford University School of Business,Stanford Graduate School of Law,I don't know,"Stanford University School of Medicine was established in 1908, while the law, Business, and Humanities schools were founded in 1908, 1925, and 1948 respectively.",Temporal,10_Stanford_University,United_States,Education,https://en.wikipedia.org/wiki/Stanford_University,Group_or_Org,Property
What was the name of the first Stanford university's president who previously worked with the same title at Cornell University and Indiana?,John Casper Branner,I don't know,Frederick Terman,David Starr Jordan,"Both David Starr Jordan and John Casper Branner sepnt time at Cornell and Indiana university. However, Their time at Cornell was limited to their study, and only Jordan served as the Indiana's preseident prior to his stanford presidency.",Intersection,10_Stanford_University,United_States,Education,https://en.wikipedia.org/wiki/Stanford_University,Person,Property
Who was the first female student graduate from the École Normale Supérieure while one of the world wars strated?,Alice Jouenne,Marguerite Rouvière,Isabelle Aboulker,I don't know,"The first female student – Marguerite Rouvière – was accepted in 1910 at ENS, no in 1914.",Temporal,7_École_Normale_Supérieure,France,Education,https://en.wikipedia.org/wiki/École_Normale_Supérieure,Person,Property
